"","band2","band3","band4","NDVI","VCF","class"
"157",0.0568,0.0339,0.3635,0.829391041771515,47,"2"
"158",0.0505,0.0339,0.3143,0.805284319356692,56,"2"
"159",0.044,0.0321,0.265,0.783911141029956,67,"2"
"160",0.0398,0.0283,0.2443,0.792369772560528,76,"2"
"161",0.0377,0.0245,0.2361,0.811972371450499,80,"2"
"162",0.0335,0.0283,0.2195,0.771589991928975,78,"2"
"163",0.0331,0.0224,0.2238,0.818034118602762,78,"2"
"164",0.0373,0.0242,0.2486,0.82258064516129,77,"2"
"165",0.0374,0.028,0.2363,0.788119561104805,74,"2"
"166",0.0353,0.0262,0.2238,0.7904,73,"2"
"167",0.0375,0.0262,0.2279,0.793781975600157,75,"2"
"168",0.0375,0.0281,0.232,0.783929257977701,78,"2"
"169",0.0396,0.0263,0.2402,0.802626641651032,73,"2"
"170",0.0397,0.0282,0.2361,0.786606129398411,74,"2"
"171",0.0355,0.0244,0.2154,0.796497080900751,74,"2"
"172",0.0397,0.0264,0.2651,0.818867924528302,74,"2"
"173",0.0377,0.0302,0.2484,0.783201722900215,75,"2"
"174",0.0398,0.0283,0.2484,0.795446331767257,76,"2"
"175",0.0377,0.0264,0.2236,0.7888,76,"2"
"176",0.0335,0.0227,0.1864,0.782879005260641,76,"2"
"177",0.0313,0.0208,0.1531,0.760782058654399,78,"2"
"178",0.0313,0.0208,0.1905,0.803123521060104,79,"2"
"179",0.0377,0.0283,0.2112,0.763674321503132,80,"2"
"180",0.0313,0.0245,0.1822,0.762941461054669,80,"2"
"181",0.0356,0.0227,0.207,0.802350892468437,79,"2"
"182",0.0377,0.0264,0.2236,0.7888,78,"2"
"183",0.0377,0.0302,0.2484,0.783201722900215,76,"2"
"184",0.0419,0.0283,0.2526,0.798504805980776,75,"2"
"185",0.0505,0.0358,0.3225,0.800167457437901,52,"2"
"186",0.0568,0.0339,0.3716,0.832799013563502,54,"2"
"187",0.0505,0.0321,0.2937,0.802946593001842,59,"2"
"188",0.0419,0.0283,0.2526,0.798504805980776,67,"2"
"189",0.0377,0.0283,0.2443,0.792369772560528,75,"2"
"190",0.0335,0.0245,0.207,0.788336933045356,79,"2"
"191",0.0313,0.0245,0.1697,0.747682801235839,81,"2"
"192",0.0394,0.0242,0.2238,0.804838709677419,79,"2"
"193",0.0395,0.0261,0.2487,0.810043668122271,78,"2"
"194",0.0374,0.028,0.2404,0.791356184798808,76,"2"
"195",0.0353,0.0262,0.2321,0.797135114208285,75,"2"
"196",0.0353,0.0225,0.1989,0.796747967479675,76,"2"
"197",0.0311,0.0262,0.1864,0.753527751646284,78,"2"
"198",0.0375,0.0301,0.2362,0.773939166353736,76,"2"
"199",0.0397,0.0282,0.2402,0.789865871833085,76,"2"
"200",0.0376,0.0244,0.2196,0.8,76,"2"
"201",0.0397,0.0283,0.2444,0.792445911257792,77,"2"
"202",0.0355,0.0245,0.2195,0.799180327868853,77,"2"
"203",0.0356,0.0264,0.2236,0.7888,78,"2"
"204",0.0356,0.0264,0.1822,0.746883988494727,78,"2"
"205",0.0335,0.0208,0.1489,0.754861520329994,78,"2"
"206",0.0313,0.0208,0.1614,0.771679473106476,76,"2"
"207",0.0356,0.0227,0.1864,0.782879005260641,76,"2"
"208",0.0335,0.0245,0.207,0.788336933045356,77,"2"
"209",0.0335,0.0245,0.207,0.788336933045356,78,"2"
"210",0.0356,0.0264,0.2153,0.781547372776169,77,"2"
"211",0.0398,0.0283,0.2401,0.789120715350224,76,"2"
"212",0.0398,0.0264,0.2443,0.804950129294422,74,"2"
"213",0.0377,0.0245,0.2401,0.814814814814815,73,"2"
"214",0.0419,0.0302,0.2732,0.800922874093606,70,"2"
"215",0.0462,0.0321,0.3102,0.812445223488168,70,"2"
"216",0.0462,0.0302,0.2815,0.806223933269169,72,"2"
"217",0.0398,0.0264,0.2401,0.80187617260788,76,"2"
"218",0.0335,0.0302,0.2278,0.765891472868217,79,"2"
"219",0.0335,0.0264,0.1988,0.765541740674956,80,"2"
"220",0.0313,0.0227,0.1905,0.787054409005629,78,"2"
"221",0.0351,0.0241,0.2032,0.787945446546414,78,"2"
"222",0.0352,0.0261,0.2238,0.791116446578631,79,"2"
"223",0.0373,0.0261,0.2321,0.797831138652208,79,"2"
"224",0.0374,0.0242,0.2155,0.79808093450146,77,"2"
"225",0.0353,0.0242,0.2072,0.790838375108038,77,"2"
"226",0.0332,0.0243,0.1822,0.764648910411622,78,"2"
"227",0.0332,0.0262,0.1864,0.753527751646284,79,"2"
"228",0.0333,0.0262,0.1988,0.767111111111111,78,"2"
"229",0.0312,0.0244,0.1739,0.753908219868886,78,"2"
"230",0.0312,0.0244,0.1781,0.759012345679012,79,"2"
